fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2025-11-22,2025-12-27,0.91,0.99
1,AL,2025-11-22,2025-12-27,0.94,1.0
2,AK,2025-11-22,2025-12-27,0.9,0.99
4,AZ,2025-11-22,2025-12-27,0.98,1.0
5,AR,2025-11-22,2025-12-27,1.0,1.0
6,CA,2025-11-22,2025-12-27,0.9,0.99
8,CO,2025-11-22,2025-12-27,0.96,1.0
9,CT,2025-11-22,2025-12-27,0.93,0.93
10,DE,2025-11-22,2025-12-27,0.91,0.97
11,DC,2025-11-22,2025-12-27,0.85,1.0
12,FL,2025-11-22,2025-12-27,0.88,0.98
13,GA,2025-11-22,2025-12-27,0.76,0.99
15,HI,2025-11-22,2025-12-27,0.95,1.0
16,ID,2025-11-22,2025-12-27,0.95,0.97
17,IL,2025-11-22,2025-12-27,0.92,1.0
18,IN,2025-11-22,2025-12-27,0.89,0.97
19,IA,2025-11-22,2025-12-27,0.9,0.99
20,KS,2025-11-22,2025-12-27,0.96,0.99
21,KY,2025-11-22,2025-12-27,0.79,0.97
22,LA,2025-11-22,2025-12-27,0.81,1.0
23,ME,2025-11-22,2025-12-27,0.97,1.0
24,MD,2025-11-22,2025-12-27,0.9,0.98
25,MA,2025-11-22,2025-12-27,0.91,1.0
26,MI,2025-11-22,2025-12-27,0.93,0.99
27,MN,2025-11-22,2025-12-27,0.95,1.0
28,MS,2025-11-22,2025-12-27,0.98,1.0
29,MO,2025-11-22,2025-12-27,0.89,0.99
30,MT,2025-11-22,2025-12-27,0.91,1.0
31,NE,2025-11-22,2025-12-27,0.87,0.99
32,NV,2025-11-22,2025-12-27,0.95,0.99
33,NH,2025-11-22,2025-12-27,0.93,1.0
34,NJ,2025-11-22,2025-12-27,1.0,1.0
35,NM,2025-11-22,2025-12-27,0.93,0.99
36,NY,2025-11-22,2025-12-27,0.82,0.96
37,NC,2025-11-22,2025-12-27,0.93,1.0
38,ND,2025-11-22,2025-12-27,0.89,0.99
39,OH,2025-11-22,2025-12-27,0.92,1.0
40,OK,2025-11-22,2025-12-27,0.7,0.93
41,OR,2025-11-22,2025-12-27,0.76,0.96
42,PA,2025-11-22,2025-12-27,1.0,1.0
44,RI,2025-11-22,2025-12-27,0.99,0.99
45,SC,2025-11-22,2025-12-27,0.96,0.99
46,SD,2025-11-22,2025-12-27,0.92,0.99
47,TN,2025-11-22,2025-12-27,0.98,1.0
48,TX,2025-11-22,2025-12-27,0.95,1.0
49,UT,2025-11-22,2025-12-27,0.99,1.0
50,VT,2025-11-22,2025-12-27,0.88,1.0
51,VA,2025-11-22,2025-12-27,0.97,1.0
53,WA,2025-11-22,2025-12-27,0.94,1.0
54,WV,2025-11-22,2025-12-27,0.96,1.0
55,WI,2025-11-22,2025-12-27,0.89,1.0
56,WY,2025-11-22,2025-12-27,0.93,0.99
72,PR,2025-11-22,2025-12-27,1.0,1.0
